location,year,pathogen,antibiotic,n_tested,n_resistant
United Arab Emirates,2017,E.coli,ceftazidime,8798,1643
United Arab Emirates,2017,E.coli,ceftriaxone,2477,832
United Arab Emirates,2017,E.coli,ciprofloxacin,9554,3189
United Arab Emirates,2017,E.coli,colistin,59,0
United Arab Emirates,2017,E.coli,ertapenem,4476,35
United Arab Emirates,2017,E.coli,imipenem,8670,44
United Arab Emirates,2017,E.coli,levofloxacin,790,201
United Arab Emirates,2017,E.coli,meropenem,9075,46
United Arab Emirates,2017,E.coli,trimethoprim/sulfamethoxazole,9950,4101
United Arab Emirates,2017,K.pneumoniae,cefepime,1965,273
United Arab Emirates,2017,K.pneumoniae,cefotaxime,1976,568
United Arab Emirates,2017,K.pneumoniae,ceftazidime,2653,549
United Arab Emirates,2017,K.pneumoniae,ceftriaxone,724,226
United Arab Emirates,2017,K.pneumoniae,ciprofloxacin,2829,428
United Arab Emirates,2017,K.pneumoniae,colistin,82,14
United Arab Emirates,2017,K.pneumoniae,ertapenem,1340,66
United Arab Emirates,2017,K.pneumoniae,imipenem,2615,136
United Arab Emirates,2017,K.pneumoniae,levofloxacin,193,19
United Arab Emirates,2017,K.pneumoniae,meropenem,2714,164
United Arab Emirates,2017,K.pneumoniae,trimethoprim/sulfamethoxazole,2938,856
United Arab Emirates,2018,Acinetobacter,amikacin,17,3
United Arab Emirates,2018,Acinetobacter,colistin,22,1
United Arab Emirates,2018,Acinetobacter,gentamicin,103,46
United Arab Emirates,2018,Acinetobacter,imipenem,98,46
United Arab Emirates,2018,Acinetobacter,meropenem,99,46
United Arab Emirates,2018,Acinetobacter,minocycline,43,12
United Arab Emirates,2018,E.coli,ampicillin,787,600
United Arab Emirates,2018,E.coli,cefepime,607,113
United Arab Emirates,2018,E.coli,cefotaxime,584,280
United Arab Emirates,2018,E.coli,ceftazidime,783,216
United Arab Emirates,2018,E.coli,ceftriaxone,209,100
United Arab Emirates,2018,E.coli,ciprofloxacin,791,431
United Arab Emirates,2018,E.coli,colistin,19,0
United Arab Emirates,2018,E.coli,ertapenem,391,10
United Arab Emirates,2018,E.coli,imipenem,762,10
United Arab Emirates,2018,E.coli,levofloxacin,41,20
United Arab Emirates,2018,E.coli,meropenem,787,11
United Arab Emirates,2018,E.coli,tinidazole,584,280
United Arab Emirates,2018,E.coli,trimethoprim/sulfamethoxazole,791,411
United Arab Emirates,2018,K.pneumoniae,cefepime,428,100
United Arab Emirates,2018,K.pneumoniae,cefotaxime,418,136
United Arab Emirates,2018,K.pneumoniae,ceftazidime,560,165
United Arab Emirates,2018,K.pneumoniae,ceftriaxone,150,80
United Arab Emirates,2018,K.pneumoniae,ciprofloxacin,567,234
United Arab Emirates,2018,K.pneumoniae,ertapenem,262,31
United Arab Emirates,2018,K.pneumoniae,imipenem,545,47
United Arab Emirates,2018,K.pneumoniae,levofloxacin,17,7
United Arab Emirates,2018,K.pneumoniae,meropenem,563,71
United Arab Emirates,2018,K.pneumoniae,trimethoprim/sulfamethoxazole,564,215
United Arab Emirates,2018,Salmonella,cefotaxime,67,4
United Arab Emirates,2018,Salmonella,ceftazidime,106,11
United Arab Emirates,2018,Salmonella,ceftriaxone,46,8
United Arab Emirates,2018,Salmonella,ciprofloxacin,92,36
United Arab Emirates,2018,Salmonella,ertapenem,55,1
United Arab Emirates,2018,Salmonella,imipenem,104,0
United Arab Emirates,2018,Salmonella,levofloxacin,22,3
United Arab Emirates,2018,Salmonella,meropenem,106,0
United Arab Emirates,2018,S.aureus,meticillin,447,123
United Arab Emirates,2018,S.pneumoniae,benzylpenicillin,67,26
United Arab Emirates,2018,S.pneumoniae,cefotaxime,41,1
United Arab Emirates,2018,S.pneumoniae,ceftriaxone,72,0
United Arab Emirates,2018,S.pneumoniae,trimethoprim/sulfamethoxazole,84,20
United Arab Emirates,2018,Salmonella,cefotaxime,245,10
United Arab Emirates,2018,Salmonella,ceftazidime,445,15
United Arab Emirates,2018,Salmonella,ceftriaxone,240,11
United Arab Emirates,2018,Salmonella,ciprofloxacin,305,37
United Arab Emirates,2018,Salmonella,ertapenem,230,0
United Arab Emirates,2018,Salmonella,imipenem,443,0
United Arab Emirates,2018,Salmonella,levofloxacin,73,8
United Arab Emirates,2018,Salmonella,meropenem,446,0
United Arab Emirates,2018,Shigella,cefotaxime,33,10
United Arab Emirates,2018,Shigella,ceftazidime,75,2
United Arab Emirates,2018,Shigella,ceftriaxone,44,15
United Arab Emirates,2018,Shigella,ciprofloxacin,86,35
United Arab Emirates,2018,E.coli,ampicillin,15083,9677
United Arab Emirates,2018,E.coli,cefepime,12251,1656
United Arab Emirates,2018,E.coli,cefotaxime,8280,2869
United Arab Emirates,2018,E.coli,ceftazidime,14764,2726
United Arab Emirates,2018,E.coli,ceftriaxone,6649,2008
United Arab Emirates,2018,E.coli,ciprofloxacin,15063,5788
United Arab Emirates,2018,E.coli,colistin,1836,38
United Arab Emirates,2018,E.coli,ertapenem,8035,135
United Arab Emirates,2018,E.coli,imipenem,14071,73
United Arab Emirates,2018,E.coli,levofloxacin,2986,864
United Arab Emirates,2018,E.coli,meropenem,14727,114
United Arab Emirates,2018,E.coli,trimethoprim/sulfamethoxazole,15056,6207
United Arab Emirates,2018,K.pneumoniae,cefepime,3641,594
United Arab Emirates,2018,K.pneumoniae,cefotaxime,2568,807
United Arab Emirates,2018,K.pneumoniae,ceftazidime,4355,1020
United Arab Emirates,2018,K.pneumoniae,ceftriaxone,1829,562
United Arab Emirates,2018,K.pneumoniae,ciprofloxacin,4443,1320
United Arab Emirates,2018,K.pneumoniae,colistin,453,13
United Arab Emirates,2018,K.pneumoniae,ertapenem,2381,176
United Arab Emirates,2018,K.pneumoniae,imipenem,4050,218
United Arab Emirates,2018,K.pneumoniae,levofloxacin,662,86
United Arab Emirates,2018,K.pneumoniae,meropenem,4336,271
United Arab Emirates,2018,K.pneumoniae,trimethoprim/sulfamethoxazole,4442,1349
United Arab Emirates,2019,Acinetobacter,amikacin,15,5
United Arab Emirates,2019,Acinetobacter,colistin,23,1
United Arab Emirates,2019,Acinetobacter,gentamicin,97,35
United Arab Emirates,2019,Acinetobacter,imipenem,95,40
United Arab Emirates,2019,Acinetobacter,meropenem,96,40
United Arab Emirates,2019,Acinetobacter,minocycline,44,3
United Arab Emirates,2019,E.coli,ampicillin,721,529
United Arab Emirates,2019,E.coli,cefepime,512,76
United Arab Emirates,2019,E.coli,cefotaxime,528,228
United Arab Emirates,2019,E.coli,ceftazidime,742,186
United Arab Emirates,2019,E.coli,ceftriaxone,293,135
United Arab Emirates,2019,E.coli,ciprofloxacin,759,372
United Arab Emirates,2019,E.coli,colistin,36,0
United Arab Emirates,2019,E.coli,ertapenem,381,9
United Arab Emirates,2019,E.coli,imipenem,716,6
United Arab Emirates,2019,E.coli,levofloxacin,42,20
United Arab Emirates,2019,E.coli,meropenem,741,7
United Arab Emirates,2019,E.coli,tinidazole,293,135
United Arab Emirates,2019,E.coli,trimethoprim/sulfamethoxazole,729,352
United Arab Emirates,2019,K.pneumoniae,cefepime,391,97
United Arab Emirates,2019,K.pneumoniae,cefotaxime,376,144
United Arab Emirates,2019,K.pneumoniae,ceftazidime,519,158
United Arab Emirates,2019,K.pneumoniae,ceftriaxone,209,88
United Arab Emirates,2019,K.pneumoniae,ciprofloxacin,528,212
United Arab Emirates,2019,K.pneumoniae,colistin,24,5
United Arab Emirates,2019,K.pneumoniae,ertapenem,291,30
United Arab Emirates,2019,K.pneumoniae,imipenem,504,37
United Arab Emirates,2019,K.pneumoniae,levofloxacin,27,5
United Arab Emirates,2019,K.pneumoniae,meropenem,520,57
United Arab Emirates,2019,K.pneumoniae,trimethoprim/sulfamethoxazole,511,176
United Arab Emirates,2019,Salmonella,cefotaxime,93,15
United Arab Emirates,2019,Salmonella,ceftazidime,130,19
United Arab Emirates,2019,Salmonella,ceftriaxone,62,9
United Arab Emirates,2019,Salmonella,ciprofloxacin,107,53
United Arab Emirates,2019,Salmonella,ertapenem,71,0
United Arab Emirates,2019,Salmonella,imipenem,129,0
United Arab Emirates,2019,Salmonella,levofloxacin,15,6
United Arab Emirates,2019,Salmonella,meropenem,130,0
United Arab Emirates,2019,S.aureus,cefoxitin,207,75
United Arab Emirates,2019,S.aureus,meticillin,207,75
United Arab Emirates,2019,S.aureus,oxacillin,446,156
United Arab Emirates,2019,S.pneumoniae,benzylpenicillin,98,36
United Arab Emirates,2019,S.pneumoniae,cefotaxime,68,1
United Arab Emirates,2019,S.pneumoniae,ceftriaxone,100,1
United Arab Emirates,2019,S.pneumoniae,trimethoprim/sulfamethoxazole,105,29
United Arab Emirates,2019,N.gonorrhoeae,ceftriaxone,111,12
United Arab Emirates,2019,Salmonella,cefotaxime,412,19
United Arab Emirates,2019,Salmonella,ceftazidime,605,26
United Arab Emirates,2019,Salmonella,ceftriaxone,396,21
United Arab Emirates,2019,Salmonella,ciprofloxacin,416,48
United Arab Emirates,2019,Salmonella,ertapenem,419,2
United Arab Emirates,2019,Salmonella,imipenem,599,3
United Arab Emirates,2019,Salmonella,levofloxacin,139,6
United Arab Emirates,2019,Salmonella,meropenem,599,0
United Arab Emirates,2019,Shigella,cefotaxime,39,18
United Arab Emirates,2019,Shigella,ceftazidime,50,1
United Arab Emirates,2019,Shigella,ceftriaxone,45,17
United Arab Emirates,2019,Shigella,ciprofloxacin,50,18
United Arab Emirates,2019,E.coli,ampicillin,17771,11021
United Arab Emirates,2019,E.coli,cefepime,14385,2042
United Arab Emirates,2019,E.coli,cefotaxime,13370,4122
United Arab Emirates,2019,E.coli,ceftazidime,17712,3244
United Arab Emirates,2019,E.coli,ceftriaxone,8314,2252
United Arab Emirates,2019,E.coli,ciprofloxacin,17801,7521
United Arab Emirates,2019,E.coli,colistin,2744,26
United Arab Emirates,2019,E.coli,ertapenem,12848,115
United Arab Emirates,2019,E.coli,imipenem,15406,73
United Arab Emirates,2019,E.coli,levofloxacin,6296,2984
United Arab Emirates,2019,E.coli,meropenem,17690,88
United Arab Emirates,2019,E.coli,trimethoprim/sulfamethoxazole,17843,6939
United Arab Emirates,2019,K.pneumoniae,cefepime,4496,642
United Arab Emirates,2019,K.pneumoniae,cefotaxime,4129,1123
United Arab Emirates,2019,K.pneumoniae,ceftazidime,5453,1161
United Arab Emirates,2019,K.pneumoniae,ceftriaxone,2325,519
United Arab Emirates,2019,K.pneumoniae,ciprofloxacin,5468,1805
United Arab Emirates,2019,K.pneumoniae,colistin,763,14
United Arab Emirates,2019,K.pneumoniae,ertapenem,3981,197
United Arab Emirates,2019,K.pneumoniae,imipenem,4737,170
United Arab Emirates,2019,K.pneumoniae,levofloxacin,1632,639
United Arab Emirates,2019,K.pneumoniae,meropenem,5418,213
United Arab Emirates,2019,K.pneumoniae,trimethoprim/sulfamethoxazole,5480,1406
United Arab Emirates,2020,Acinetobacter,amikacin,42,4
United Arab Emirates,2020,Acinetobacter,colistin,25,0
United Arab Emirates,2020,Acinetobacter,gentamicin,122,59
United Arab Emirates,2020,Acinetobacter,imipenem,115,58
United Arab Emirates,2020,Acinetobacter,meropenem,124,61
United Arab Emirates,2020,Acinetobacter,minocycline,41,6
United Arab Emirates,2020,E.coli,ampicillin,750,548
United Arab Emirates,2020,E.coli,cefepime,580,101
United Arab Emirates,2020,E.coli,cefotaxime,522,251
United Arab Emirates,2020,E.coli,ceftazidime,767,239
United Arab Emirates,2020,E.coli,ceftriaxone,392,212
United Arab Emirates,2020,E.coli,ciprofloxacin,775,411
United Arab Emirates,2020,E.coli,colistin,32,0
United Arab Emirates,2020,E.coli,ertapenem,449,8
United Arab Emirates,2020,E.coli,imipenem,741,15
United Arab Emirates,2020,E.coli,levofloxacin,125,52
United Arab Emirates,2020,E.coli,meropenem,767,18
United Arab Emirates,2020,E.coli,tinidazole,392,212
United Arab Emirates,2020,E.coli,trimethoprim/sulfamethoxazole,754,384
United Arab Emirates,2020,K.pneumoniae,cefepime,470,128
United Arab Emirates,2020,K.pneumoniae,cefotaxime,441,144
United Arab Emirates,2020,K.pneumoniae,ceftazidime,621,228
United Arab Emirates,2020,K.pneumoniae,ceftriaxone,300,165
United Arab Emirates,2020,K.pneumoniae,ciprofloxacin,638,254
United Arab Emirates,2020,K.pneumoniae,ertapenem,327,32
United Arab Emirates,2020,K.pneumoniae,imipenem,599,75
United Arab Emirates,2020,K.pneumoniae,levofloxacin,81,21
United Arab Emirates,2020,K.pneumoniae,meropenem,623,96
United Arab Emirates,2020,K.pneumoniae,trimethoprim/sulfamethoxazole,618,228
United Arab Emirates,2020,Salmonella,cefotaxime,70,12
United Arab Emirates,2020,Salmonella,ceftazidime,90,15
United Arab Emirates,2020,Salmonella,ceftriaxone,62,11
United Arab Emirates,2020,Salmonella,ciprofloxacin,96,30
United Arab Emirates,2020,Salmonella,ertapenem,56,1
United Arab Emirates,2020,Salmonella,imipenem,87,0
United Arab Emirates,2020,Salmonella,levofloxacin,21,7
United Arab Emirates,2020,Salmonella,meropenem,89,0
United Arab Emirates,2020,S.aureus,meticillin,555,236
United Arab Emirates,2020,S.pneumoniae,benzylpenicillin,52,12
United Arab Emirates,2020,S.pneumoniae,cefotaxime,29,0
United Arab Emirates,2020,S.pneumoniae,ceftriaxone,45,1
United Arab Emirates,2020,S.pneumoniae,trimethoprim/sulfamethoxazole,50,13
United Arab Emirates,2020,Salmonella,cefotaxime,468,10
United Arab Emirates,2020,Salmonella,ceftazidime,688,16
United Arab Emirates,2020,Salmonella,ceftriaxone,418,15
United Arab Emirates,2020,Salmonella,ciprofloxacin,776,52
United Arab Emirates,2020,Salmonella,ertapenem,393,3
United Arab Emirates,2020,Salmonella,imipenem,596,3
United Arab Emirates,2020,Salmonella,levofloxacin,146,10
United Arab Emirates,2020,Salmonella,meropenem,590,0
United Arab Emirates,2020,Shigella,cefotaxime,12,6
United Arab Emirates,2020,Shigella,ceftazidime,18,1
United Arab Emirates,2020,Shigella,ceftriaxone,32,15
United Arab Emirates,2020,Shigella,ciprofloxacin,34,6
United Arab Emirates,2020,E.coli,ampicillin,19840,11754
United Arab Emirates,2020,E.coli,cefepime,15487,2168
United Arab Emirates,2020,E.coli,cefotaxime,14354,4241
United Arab Emirates,2020,E.coli,ceftazidime,19782,3579
United Arab Emirates,2020,E.coli,ceftriaxone,6870,1959
United Arab Emirates,2020,E.coli,ciprofloxacin,20156,6429
United Arab Emirates,2020,E.coli,colistin,1618,13
United Arab Emirates,2020,E.coli,ertapenem,16101,200
United Arab Emirates,2020,E.coli,imipenem,18875,91
United Arab Emirates,2020,E.coli,levofloxacin,6686,1769
United Arab Emirates,2020,E.coli,meropenem,19240,130
United Arab Emirates,2020,E.coli,trimethoprim/sulfamethoxazole,20193,7260
United Arab Emirates,2020,K.pneumoniae,cefepime,4849,667
United Arab Emirates,2020,K.pneumoniae,cefotaxime,4453,1117
United Arab Emirates,2020,K.pneumoniae,ceftazidime,6034,1236
United Arab Emirates,2020,K.pneumoniae,ceftriaxone,1916,493
United Arab Emirates,2020,K.pneumoniae,ciprofloxacin,6129,1427
United Arab Emirates,2020,K.pneumoniae,colistin,528,19
United Arab Emirates,2020,K.pneumoniae,ertapenem,4887,249
United Arab Emirates,2020,K.pneumoniae,imipenem,5694,183
United Arab Emirates,2020,K.pneumoniae,levofloxacin,1674,170
United Arab Emirates,2020,K.pneumoniae,meropenem,5882,244
United Arab Emirates,2020,K.pneumoniae,trimethoprim/sulfamethoxazole,6143,1530
Argentina,2017,Acinetobacter,amikacin,322,67
Argentina,2017,Acinetobacter,colistin,360,4
Argentina,2017,Acinetobacter,gentamicin,366,225
Argentina,2017,Acinetobacter,imipenem,370,279
Argentina,2017,Acinetobacter,meropenem,369,278
Argentina,2017,Acinetobacter,minocycline,219,10
Argentina,2017,E.coli,ampicillin,1731,1256
Argentina,2017,E.coli,cefepime,1649,293
Argentina,2017,E.coli,cefotaxime,1358,281
Argentina,2017,E.coli,ceftazidime,1789,318
Argentina,2017,E.coli,ciprofloxacin,1803,590
Argentina,2017,E.coli,colistin,1718,18
Argentina,2017,E.coli,ertapenem,1379,14
Argentina,2017,E.coli,imipenem,1806,7
Argentina,2017,E.coli,meropenem,1790,8
Argentina,2017,E.coli,tinidazole,1358,281
Argentina,2017,E.coli,trimethoprim/sulfamethoxazole,1753,840
Argentina,2017,K.pneumoniae,cefepime,1251,635
Argentina,2017,K.pneumoniae,ceftazidime,1320,743
Argentina,2017,K.pneumoniae,ciprofloxacin,1326,564
Argentina,2017,K.pneumoniae,colistin,1272,100
Argentina,2017,K.pneumoniae,ertapenem,1023,241
Argentina,2017,K.pneumoniae,imipenem,1332,247
Argentina,2017,K.pneumoniae,meropenem,1330,244
Argentina,2017,K.pneumoniae,trimethoprim/sulfamethoxazole,1286,702
Argentina,2017,Salmonella,cefotaxime,31,0
Argentina,2017,Salmonella,ceftazidime,37,0
Argentina,2017,Salmonella,ciprofloxacin,40,3
Argentina,2017,Salmonella,imipenem,31,0
Argentina,2017,Salmonella,meropenem,31,0
Argentina,2017,S.aureus,meticillin,1593,784
Argentina,2017,S.pneumoniae,benzylpenicillin,259,68
Argentina,2017,S.pneumoniae,cefotaxime,148,3
Argentina,2017,S.pneumoniae,trimethoprim/sulfamethoxazole,386,71
Argentina,2017,Salmonella,cefotaxime,148,15
Argentina,2017,Salmonella,ceftazidime,207,8
Argentina,2017,Salmonella,ciprofloxacin,446,19
Argentina,2017,Salmonella,imipenem,191,2
Argentina,2017,Salmonella,meropenem,189,1
Argentina,2017,Shigella,azithromycin,782,19
Argentina,2017,Shigella,cefotaxime,717,11
Argentina,2017,Shigella,ceftazidime,960,1
Argentina,2017,Shigella,ciprofloxacin,2446,3
Argentina,2017,E.coli,ampicillin,33316,21298
Argentina,2017,E.coli,cefepime,19133,2055
Argentina,2017,E.coli,cefotaxime,16506,2528
Argentina,2017,E.coli,ceftazidime,20885,2364
Argentina,2017,E.coli,ciprofloxacin,33330,6911
Argentina,2017,E.coli,colistin,27174,138
Argentina,2017,E.coli,imipenem,19806,31
Argentina,2017,E.coli,meropenem,19802,44
Argentina,2017,E.coli,trimethoprim/sulfamethoxazole,32942,13132
Argentina,2017,K.pneumoniae,cefepime,2970,1416
Argentina,2017,K.pneumoniae,cefotaxime,2584,1401
Argentina,2017,K.pneumoniae,ceftazidime,3218,1627
Argentina,2017,K.pneumoniae,ciprofloxacin,3958,1452
Argentina,2017,K.pneumoniae,colistin,3468,178
Argentina,2017,K.pneumoniae,imipenem,3190,377
Argentina,2017,K.pneumoniae,meropenem,3180,406
Argentina,2017,K.pneumoniae,trimethoprim/sulfamethoxazole,3878,1781
Argentina,2018,Acinetobacter,amikacin,347,78
Argentina,2018,Acinetobacter,colistin,352,9
Argentina,2018,Acinetobacter,gentamicin,368,221
Argentina,2018,Acinetobacter,imipenem,372,281
Argentina,2018,Acinetobacter,meropenem,375,283
Argentina,2018,Acinetobacter,minocycline,226,10
Argentina,2018,E.coli,ampicillin,2057,1508
Argentina,2018,E.coli,cefepime,1991,332
Argentina,2018,E.coli,cefotaxime,1471,296
Argentina,2018,E.coli,ceftazidime,2116,364
Argentina,2018,E.coli,ciprofloxacin,2107,702
Argentina,2018,E.coli,colistin,1968,19
Argentina,2018,E.coli,ertapenem,1711,12
Argentina,2018,E.coli,imipenem,2097,4
Argentina,2018,E.coli,meropenem,2111,7
Argentina,2018,E.coli,tinidazole,1471,296
Argentina,2018,E.coli,trimethoprim/sulfamethoxazole,2061,991
Argentina,2018,K.pneumoniae,cefepime,1450,731
Argentina,2018,K.pneumoniae,ceftazidime,1508,831
Argentina,2018,K.pneumoniae,ciprofloxacin,1501,602
Argentina,2018,K.pneumoniae,colistin,1457,135
Argentina,2018,K.pneumoniae,ertapenem,1213,275
Argentina,2018,K.pneumoniae,imipenem,1517,300
Argentina,2018,K.pneumoniae,meropenem,1525,303
Argentina,2018,K.pneumoniae,trimethoprim/sulfamethoxazole,1472,766
Argentina,2018,Salmonella,cefotaxime,28,0
Argentina,2018,Salmonella,ceftazidime,45,0
Argentina,2018,Salmonella,ciprofloxacin,43,1
Argentina,2018,Salmonella,imipenem,40,0
Argentina,2018,Salmonella,meropenem,40,0
Argentina,2018,S.aureus,meticillin,1877,850
Argentina,2018,S.pneumoniae,benzylpenicillin,408,78
Argentina,2018,S.pneumoniae,cefotaxime,215,1
Argentina,2018,S.pneumoniae,trimethoprim/sulfamethoxazole,381,81
Argentina,2018,Salmonella,cefotaxime,160,17
Argentina,2018,Salmonella,ceftazidime,219,6
Argentina,2018,Salmonella,ciprofloxacin,436,17
Argentina,2018,Salmonella,imipenem,198,1
Argentina,2018,Salmonella,meropenem,200,1
Argentina,2018,Shigella,azithromycin,1118,21
Argentina,2018,Shigella,cefotaxime,873,14
Argentina,2018,Shigella,ceftazidime,1109,3
Argentina,2018,Shigella,ciprofloxacin,2810,5
Argentina,2018,E.coli,ampicillin,36890,23695
Argentina,2018,E.coli,cefepime,22858,2534
Argentina,2018,E.coli,cefotaxime,19252,2750
Argentina,2018,E.coli,ceftazidime,24787,2956
Argentina,2018,E.coli,ciprofloxacin,37341,8334
Argentina,2018,E.coli,colistin,26608,161
Argentina,2018,E.coli,imipenem,23434,30
Argentina,2018,E.coli,meropenem,23408,50
Argentina,2018,E.coli,trimethoprim/sulfamethoxazole,36896,14919
Argentina,2018,K.pneumoniae,cefepime,3593,1632
Argentina,2018,K.pneumoniae,cefotaxime,2910,1513
Argentina,2018,K.pneumoniae,ceftazidime,3855,1860
Argentina,2018,K.pneumoniae,ciprofloxacin,4557,1675
Argentina,2018,K.pneumoniae,colistin,3714,173
Argentina,2018,K.pneumoniae,imipenem,3808,417
Argentina,2018,K.pneumoniae,meropenem,3809,435
Argentina,2018,K.pneumoniae,trimethoprim/sulfamethoxazole,4483,1948
Argentina,2019,Acinetobacter,amikacin,275,76
Argentina,2019,Acinetobacter,colistin,198,2
Argentina,2019,Acinetobacter,gentamicin,279,177
Argentina,2019,Acinetobacter,imipenem,292,202
Argentina,2019,Acinetobacter,meropenem,291,201
Argentina,2019,Acinetobacter,minocycline,201,13
Argentina,2019,E.coli,ampicillin,1518,1150
Argentina,2019,E.coli,cefepime,1663,272
Argentina,2019,E.coli,cefotaxime,1212,230
Argentina,2019,E.coli,ceftazidime,1669,287
Argentina,2019,E.coli,ciprofloxacin,1704,523
Argentina,2019,E.coli,colistin,1506,9
Argentina,2019,E.coli,ertapenem,1339,14
Argentina,2019,E.coli,imipenem,1705,10
Argentina,2019,E.coli,meropenem,1701,10
Argentina,2019,E.coli,tinidazole,1212,230
Argentina,2019,E.coli,trimethoprim/sulfamethoxazole,1662,798
Argentina,2019,K.pneumoniae,cefepime,1130,549
Argentina,2019,K.pneumoniae,cefotaxime,819,453
Argentina,2019,K.pneumoniae,ceftazidime,1142,630
Argentina,2019,K.pneumoniae,ciprofloxacin,1175,466
Argentina,2019,K.pneumoniae,colistin,1053,92
Argentina,2019,K.pneumoniae,ertapenem,885,182
Argentina,2019,K.pneumoniae,imipenem,1166,182
Argentina,2019,K.pneumoniae,meropenem,1167,199
Argentina,2019,K.pneumoniae,trimethoprim/sulfamethoxazole,1147,603
Argentina,2019,Salmonella,cefotaxime,139,1
Argentina,2019,Salmonella,ceftazidime,144,1
Argentina,2019,Salmonella,ciprofloxacin,108,3
Argentina,2019,Salmonella,imipenem,143,0
Argentina,2019,Salmonella,meropenem,142,0
Argentina,2019,S.aureus,cefoxitin,1366,570
Argentina,2019,S.aureus,meticillin,1494,628
Argentina,2019,S.aureus,oxacillin,1494,628
Argentina,2019,S.pneumoniae,benzylpenicillin,358,88
Argentina,2019,S.pneumoniae,cefotaxime,168,1
Argentina,2019,S.pneumoniae,oxacillin,232,54
Argentina,2019,S.pneumoniae,trimethoprim/sulfamethoxazole,322,58
Argentina,2019,Salmonella,cefotaxime,139,5
Argentina,2019,Salmonella,ceftazidime,197,2
Argentina,2019,Salmonella,ciprofloxacin,422,6
Argentina,2019,Salmonella,imipenem,192,0
Argentina,2019,Salmonella,meropenem,191,1
Argentina,2019,Shigella,azithromycin,1327,18
Argentina,2019,Shigella,cefotaxime,963,15
